
="",="(1)",="(2)",="(3)",="(4)"
="",="_t",="_t",="_t",="_t"

="zHorvathAgeEAA",="-0.0456",="",="",=""
="",="(0.150)",="",="",=""

="AGE",="0.0869***",="0.0902***",="0.0825***",="0.293***"
="",="(0.0222)",="(0.0219)",="(0.0222)",="(0.0784)"

="SEX",="-0.397",="-0.243",="-0.418",="-0.834"
="",="(0.296)",="(0.287)",="(0.306)",="(0.638)"

="0.RACE",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="1.RACE",="-0.0700",="0.00533",="-0.372",="-0.247"
="",="(0.290)",="(0.279)",="(0.287)",="(0.605)"

="zHannumAgeEAA",="",="0.310*",="",=""
="",="",="(0.136)",="",=""

="zDunedinPoAm",="",="",="0.539***",=""
="",="",="",="(0.138)",=""

="ztelomean_no_outliers",="",="",="",="0.436*"
="",="",="",="",="(0.206)"

="N",="467",="467",="467",="91"
="adj. R-sq",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
