
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="_t",="_t",="_t",="_t",="_t",="_t"

="zHorvathAgeEAA",="0.0416",="",="",="",="",=""
="",="(0.0678)",="",="",="",="",=""

="AGE",="0.119***",="0.119***",="0.117***",="0.121***",="0.116***",="0.119***"
="",="(0.00832)",="(0.00840)",="(0.00862)",="(0.00919)",="(0.00848)",="(0.00842)"

="SEX",="-0.0484",="0.00862",="-0.0219",="0.326*",="0.0362",="-0.0426"
="",="(0.138)",="(0.138)",="(0.139)",="(0.154)",="(0.138)",="(0.138)"

="1.RACE_ETHN",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.RACE_ETHN",="-0.142",="-0.0791",="-0.415",="-0.408",="-0.171",="-0.119"
="",="(0.210)",="(0.235)",="(0.302)",="(0.266)",="(0.183)",="(0.203)"

="3.RACE_ETHN",="-0.367",="-0.353",="-0.474",="-0.374",="-0.357",="-0.358"
="",="(0.286)",="(0.254)",="(0.295)",="(0.298)",="(0.310)",="(0.298)"

="4.RACE_ETHN",="0.236",="0.290",="0.294",="0.214",="0.129",="0.233"
="",="(0.763)",="(0.756)",="(0.745)",="(0.734)",="(0.743)",="(0.771)"

="zHannumAgeEAA",="",="0.208***",="",="",="",=""
="",="",="(0.0606)",="",="",="",=""

="zPhenoAgeEAA",="",="",="0.242***",="",="",=""
="",="",="",="(0.0632)",="",="",=""

="zGrimAgeMortEAA",="",="",="",="0.511***",="",=""
="",="",="",="",="(0.0775)",="",=""

="zDunedinPoAm",="",="",="",="",="0.290***",=""
="",="",="",="",="",="(0.0831)",=""

="ztelomean_no_outliers",="",="",="",="",="",="-0.0415"
="",="",="",="",="",="",="(0.0722)"

="N",="1028",="1028",="1028",="1028",="1028",="1028"
="adj. R-sq",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
