,_t,_t,_t,_t,_t,_t,_t
zHorvathAgeEAA,0.133,,,,,,
,0.0335,,,,,,
AGE,0.102,0.102,0.102,0.107,0.102,0.0988,0.101
,0.00403,0.00406,0.00403,0.00416,0.0041,0.00409,0.00405
SEX,-0.369,-0.329,-0.372,-0.118,-0.339,-0.37,-0.39
,0.0703,0.0707,0.0694,0.0732,0.0702,0.0705,0.0696
0.RACE,0,0,0,0,0,0,0
1.RACE,0.313,0.371,0.317,0.196,0.229,0.31,0.293
,0.0801,0.0818,0.0807,0.0801,0.0795,0.08,0.0798
2.RACE,-0.0357,-0.0788,-0.0714,-0.0621,-0.0922,-0.0647,-0.0653
,0.0976,0.0978,0.0985,0.0988,0.0992,0.097,0.0976
3.RACE,-0.24,-0.276,-0.255,-0.177,-0.262,-0.259,-0.251
,0.2,0.197,0.201,0.202,0.198,0.198,0.2
zHannumAgeEAA,,0.206,,,,,
,,0.0338,,,,,
zPhenoAgeEAA,,,0.269,,,,
,,,0.0371,,,,
zGrimAgeMortEAA,,,,0.46,,,
,,,,0.0367,,,
zDunedinPoAm,,,,,0.32,,
,,,,,0.035,,
ztelomean_no_outliers,,,,,,-0.141,
,,,,,,0.0475,
ztelostd_no_outliers,,,,,,,-0.039
,,,,,,,0.0384
N,2522,2522,2522,2522,2522,2522,2522
